Level0;Level1;Level2&Level3;Keywords
Collapse Risk;Environment;Climate Change & Global Warming: General;climate, global warming, temperature, C, CO2, methane, footprint, greenhouse gas, greenhouse gas emissions, indicators, the Paris Climate Agreement, Greta, Thunberg
Collapse Risk;Environment;Climate Change & Global Warming: Extreme Weather;weather pattern, el nino, bomb cyclones, drought, fire, heatwave
Collapse Risk;Environment;Climate Change & Global Warming: Ice Caps & Cryosphere;ice caps melting, arctic, antarctic
Collapse Risk;Environment;Climate Change & Global Warming: Ocean & Hydrosphere;rising sea level, SLR, ocean acidification, oxygen loss, deoxygenation
Collapse Risk;Environment;Resource Depletion & Energy;electricity, energy, oil, fossil fuels, footprint, solar, wind, nuclear, resources, water supply, bitcoin mining
Collapse Risk;Environment;Ecosystem & Biodiversity;biodiversity, species, extinction, animals, insects, ecosystem, inhabitance, mangroves, hand pollination
Collapse Risk;Environment;Pollution & Contamination;pollution, plastic, microplastics, chemicals, waste
Collapse Risk;Environment;Agriculture & Food Systems;agriculture, famine, food, crops, soil erosion, deforestation, poverty
Collapse Risk;Disaster;Natural Disaster (Geosphere & Seismic Activity);seismic, volcanic, earthquake, geology, BOE (Blue Ocean Event), hurricane
Collapse Risk;Disaster;Health Disaster & Pandemics;pandemics, medication, plague, ebola
Collapse Risk;Society & Politics;Demographic Challenges;overpopulation, aging population, birth rate
Collapse Risk;Society & Politics;Societal & Cultural Decay;dystopia, societal order, moral decay, cultural collapse, corruption, police state, polarization, crack, murder
Collapse Risk;Society & Politics;Systemic Inequality & Systemic Critique;systemic inequality, gap, inequality, elites, capitalism, deep state, conspiracy, medical insurance, medicare, market mechanism
Collapse Risk;Society & Politics;Internal Affairs: Riot & Murder & Civil War;riots, protests, demonstrations, terrorism, civil unrest, murder, barricades, curfew, shuttered, atrocities
Collapse Risk;Society & Politics;Foreign Affairs: Geopolitics & Conflict & War & Military;war, nuclear, weapons, military, terrorism, civil unrest
Collapse Risk;Society & Politics;Foreign Affairs: Migration & Borders;migration, immigration, border, refugees, brexit
Collapse Risk;Economy;Macroeconomics & Systemic Risk;economy, GDP, debt, fiat currency, hyperinflation, bank, capitalism, debt, inequality, bail-in
Collapse Risk;Economy;Personal Finance & Assets;401k, retirement, stocks, gold, crypto, mortgage, bankrupt, buy, investment, saving, FIRE
Collapse Risk;Economy;Real Estate Market;house, housing, prices, buying, real estate
Collapse Risk;Economy;Labor & Employment;job, lose job, AI, robotics, digital, rich-poor gap, inequality
Collapse Risk;Technology;Nuclear Power;nuclear power, nuclear bomb, meltdown
Collapse Risk;Technology;AI & Robotics;AI, robotics, digital, military tech
Not Collapse Risk;Human Response;Psychological Response: Mental Health & Mindset;mental health, anxiety, depression, despair, grief, seeking, hope, ignorance
Not Collapse Risk;Human Response;Psychological Response: Fictional Description;poetry, books
Not Collapse Risk;Human Response;Practical Response: Adaptation & Preparedness;prepare, preparedness, prepping, survival, surviving, skill, bugout, colonization of Mars, escape, space program
Not Collapse Risk;Human Response;Practical Response: Public Awareness & Media & Information;public awareness, influencers, media, social media, attention, dopamine, disinformation, VR, information, misinformation, hedonistic, activist, lobbying, publicly shame, MSM, traditional media, lack of knowledge
Not Collapse Risk;Human Response;Community Response: Meta-Discussion & r/collapse as Community;meta-discussion, meta-question, posters, post, all previous observations threads, AMA, troll, shill
Not Collapse Risk;Human Response;Community Response: Literature Reccomendation;books, links, reccomendation, truth, main source, usefu, information, podcast
Not Collapse Risk;Human Response;Community Response: Skepticism of Climate Change & Collapse;nihilistic, misanthropic
Unclassifiable;Unclassifiable;Unclassifiable;